id,domain,topic,subtopic,template
CHEM.4.3,Chemistry: Organic Chemistry,Synthesis and Retrosynthetic Analysis,Strategy in organic synthesis,definition
CHEM.4.3,Chemistry: Organic Chemistry,Synthesis and Retrosynthetic Analysis,Identifying synthetic pathways and planning multi-step syntheses,definition
CHEM.4.4,Chemistry: Organic Chemistry,Spectroscopic and Analytical Techniques,"Infrared (IR) spectroscopy, Nuclear Magnetic Resonance (NMR), Mass Spectrometry (MS)",definition
CHEM.4.4,Chemistry: Organic Chemistry,Spectroscopic and Analytical Techniques,"Chromatography methods (GC, HPLC) for purification and analysis",definition
CHEM.4.5,Chemistry: Organic Chemistry,Polymers and Macromolecules,"Types of polymers, polymerization reactions, and properties of polymers",definition
CHEM.5.1,Chemistry: Physical Chemistry,Thermodynamics,Laws of thermodynamics,definition
CHEM.5.1,Chemistry: Physical Chemistry,Thermodynamics,"Enthalpy, entropy, Gibbs free energy",definition
CHEM.5.1,Chemistry: Physical Chemistry,Thermodynamics,Phase transitions and equilibrium,definition
CHEM.5.2,Chemistry: Physical Chemistry,Kinetics and Reaction Dynamics,Rate laws and mechanisms,definition
CHEM.5.2,Chemistry: Physical Chemistry,Kinetics and Reaction Dynamics,Catalysis and reaction pathway analysis,definition
CHEM.5.2,Chemistry: Physical Chemistry,Kinetics and Reaction Dynamics,Temperature effects and collision theory,definition
CHEM.5.3,Chemistry: Physical Chemistry,Quantum Chemistry,Principles of quantum mechanics applied to atoms and molecules,definition
CHEM.5.3,Chemistry: Physical Chemistry,Quantum Chemistry,"Atomic orbitals, molecular orbital theory",definition
CHEM.5.3,Chemistry: Physical Chemistry,Quantum Chemistry,Electron configuration and spectroscopic transitions,definition
CHEM.5.4,Chemistry: Physical Chemistry,Electrochemistry,"Redox reactions, electrode potentials",definition
CHEM.5.4,Chemistry: Physical Chemistry,Electrochemistry,"Electrochemical cells, batteries, and corrosion",definition
CHEM.5.4,Chemistry: Physical Chemistry,Electrochemistry,Nernst equation and applications in sensors,definition
CHEM.6.1,Chemistry: Analytical Chemistry,Qualitative Analysis,Techniques for identifying substances,definition
CHEM.6.1,Chemistry: Analytical Chemistry,Qualitative Analysis,"Chemical tests, precipitation reactions, and colorimetry",definition
CHEM.6.2,Chemistry: Analytical Chemistry,Quantitative Analysis,Gravimetric and volumetric analysis,definition
CHEM.6.2,Chemistry: Analytical Chemistry,Quantitative Analysis,Titration methods and calibration,definition
CHEM.6.2,Chemistry: Analytical Chemistry,Quantitative Analysis,"Instrumental methods (UV-Vis, ICP, etc.)",definition
CHEM.6.3,Chemistry: Analytical Chemistry,Modern Instrumental Methods,"Chromatographic techniques (HPLC, GC)",definition
CHEM.6.3,Chemistry: Analytical Chemistry,Modern Instrumental Methods,"Spectroscopic methods (IR, NMR, Mass Spectrometry)",definition
CHEM.6.3,Chemistry: Analytical Chemistry,Modern Instrumental Methods,"Electroanalytical techniques (potentiometry, voltammetry)",definition
CHEM.7.1,Chemistry: Biochemistry & Molecular Chemistry,Structure and Function of Biomolecules,"Carbohydrates, proteins, lipids, and nucleic acids",definition
CHEM.7.1,Chemistry: Biochemistry & Molecular Chemistry,Structure and Function of Biomolecules,"Enzyme structure, function, and kinetics",definition
CHEM.7.1,Chemistry: Biochemistry & Molecular Chemistry,Structure and Function of Biomolecules,"Vitamins, Cofactors, and Coenzymes",definition
CHEM.7.2,Chemistry: Biochemistry & Molecular Chemistry,Metabolism and Bioenergetics,"Glycolysis, the citric acid cycle, and oxidative phosphorylation",definition
CHEM.7.2,Chemistry: Biochemistry & Molecular Chemistry,Metabolism and Bioenergetics,Metabolic regulation and pathways,definition
CHEM.7.3,Chemistry: Biochemistry & Molecular Chemistry,Molecular Genetics and Bioorganic Chemistry,DNA/RNA structure and replication,definition
CHEM.7.3,Chemistry: Biochemistry & Molecular Chemistry,Molecular Genetics and Bioorganic Chemistry,Protein synthesis and gene expression regulation,definition
CHEM.7.3,Chemistry: Biochemistry & Molecular Chemistry,Molecular Genetics and Bioorganic Chemistry,Applications in biotechnology and drug design,definition
CHEM.8.1,Chemistry: Advanced & Interdisciplinary Topics,Materials Chemistry,"Polymers, ceramics, metals, and composites",definition
CHEM.8.1,Chemistry: Advanced & Interdisciplinary Topics,Materials Chemistry,Nanotechnology and surface chemistry,definition
CHEM.8.2,Chemistry: Advanced & Interdisciplinary Topics,Environmental and Green Chemistry,"Pollution analysis, waste management",definition
CHEM.8.2,Chemistry: Advanced & Interdisciplinary Topics,Environmental and Green Chemistry,Principles of sustainable chemistry and renewable resources,definition
CHEM.8.3,Chemistry: Advanced & Interdisciplinary Topics,Medicinal and Pharmaceutical Chemistry,Drug discovery and design,definition
CHEM.8.3,Chemistry: Advanced & Interdisciplinary Topics,Medicinal and Pharmaceutical Chemistry,Pharmacodynamics and pharmacokinetics,definition
CHEM.8.4,Chemistry: Advanced & Interdisciplinary Topics,Theoretical and Computational Chemistry,Modeling chemical systems,definition
CHEM.8.4,Chemistry: Advanced & Interdisciplinary Topics,Theoretical and Computational Chemistry,Simulation techniques and quantum chemical calculations,definition
BIO.1.1,Biology & Life Sciences: Foundations,Introduction to Biology,The Scientific Method in Biology,definition
BIO.1.1,Biology & Life Sciences: Foundations,Introduction to Biology,History and Philosophy of Biological Thought,definition
BIO.1.1,Biology & Life Sciences: Foundations,Introduction to Biology,"Overview of Life: Definitions, Characteristics, and Classification",definition
BIO.1.1,Biology & Life Sciences: Foundations,Introduction to Biology,Viruses and Prions: Characteristics and Biological Roles,definition
BIO.1.1,Biology & Life Sciences: Foundations,Introduction to Biology,Levels of Biological Organization: From Molecules to Biosphere,definition
BIO.1.2,Biology & Life Sciences: Foundations,Chemistry of Life,Basic Chemistry Relevant to Biology,definition
BIO.1.2,Biology & Life Sciences: Foundations,Chemistry of Life,Properties of Water and Its Role in Life,definition
BIO.1.2,Biology & Life Sciences: Foundations,Chemistry of Life,"Elements and Biomolecules: Carbohydrates, Lipids, Proteins, and Nucleic Acids",definition
BIO.1.2,Biology & Life Sciences: Foundations,Chemistry of Life,Introduction to Metabolism: Energy Transfer and Thermodynamics in Biological Systems,definition
BIO.2.1,Biology & Life Sciences: Cell Biology,Fundamentals of the Cell,Cell Theory and Types of Cells (Prokaryotic vs. Eukaryotic),definition
BIO.2.1,Biology & Life Sciences: Cell Biology,Fundamentals of the Cell,Cellular Components and Organelles,definition
BIO.2.1,Biology & Life Sciences: Cell Biology,Fundamentals of the Cell,"Cell Membranes: Structure, Function, and Transport Mechanisms",definition
BIO.2.1,Biology & Life Sciences: Cell Biology,Fundamentals of the Cell,Cytoskeleton and Cellular Architecture,definition
BIO.2.2,Biology & Life Sciences: Cell Biology,Cellular Processes,Apoptosis (Programmed Cell Death),definition
BIO.2.2,Biology & Life Sciences: Cell Biology,Cellular Processes,Cell Division: Mitosis and Meiosis,definition
BIO.2.2,Biology & Life Sciences: Cell Biology,Cellular Processes,Cellular Respiration and Photosynthesis,definition
BIO.2.2,Biology & Life Sciences: Cell Biology,Cellular Processes,Cell Signaling and Communication,definition
BIO.2.2,Biology & Life Sciences: Cell Biology,Cellular Processes,Homeostasis and Regulation at the Cellular Level,definition
BIO.3.1,Biology & Life Sciences: Genetics & Molecular Biology,Genetic Foundations,Mendelian Genetics and Inheritance Patterns,definition
BIO.3.1,Biology & Life Sciences: Genetics & Molecular Biology,Genetic Foundations,Structure and Function of DNA and RNA,definition
BIO.3.1,Biology & Life Sciences: Genetics & Molecular Biology,Genetic Foundations,Gene Expression: Transcription and Translation,definition
BIO.3.1,Biology & Life Sciences: Genetics & Molecular Biology,Genetic Foundations,Regulation of Gene Expression,definition
BIO.3.1,Biology & Life Sciences: Genetics & Molecular Biology,Genetic Foundations,"Mutations, DNA Repair, and Genetic Variation",definition
BIO.3.2,Biology & Life Sciences: Genetics & Molecular Biology,Molecular Genetics,"Techniques in Molecular Biology (PCR, Cloning, Sequencing)",definition
BIO.3.2,Biology & Life Sciences: Genetics & Molecular Biology,Molecular Genetics,Recombinant DNA Technology and Genetic Engineering,definition
BIO.3.2,Biology & Life Sciences: Genetics & Molecular Biology,Molecular Genetics,Epigenetics and Gene Regulation Mechanisms,definition
BIO.3.2,Biology & Life Sciences: Genetics & Molecular Biology,Molecular Genetics,Genomics and Bioinformatics Basics,definition
BIO.4.1,Biology & Life Sciences: Developmental Biology,Principles of Development,Life Cycles and Reproductive Strategies,definition
BIO.4.1,Biology & Life Sciences: Developmental Biology,Principles of Development,Concepts of Cellular Differentiation and Specialization,definition
BIO.4.1,Biology & Life Sciences: Developmental Biology,Principles of Development,Embryogenesis: Stages of Development,definition
BIO.4.1,Biology & Life Sciences: Developmental Biology,Principles of Development,Pattern Formation and Morphogenesis,definition
BIO.4.1,Biology & Life Sciences: Developmental Biology,Principles of Development,Developmental Genetics and Regulatory Pathways,definition
BIO.4.2,Biology & Life Sciences: Developmental Biology,Modern Topics in Development,Stem Cells and Regenerative Medicine,definition
BIO.4.2,Biology & Life Sciences: Developmental Biology,Modern Topics in Development,Evolutionary Developmental Biology (Evo-Devo),definition
BIO.4.2,Biology & Life Sciences: Developmental Biology,Modern Topics in Development,Environmental Influences on Development,definition
BIO.5.1,Biology & Life Sciences: Physiology & Anatomy,Plant Physiology and Anatomy,Structure and Function of Plant Cells and Tissues,definition
BIO.5.1,Biology & Life Sciences: Physiology & Anatomy,Plant Physiology and Anatomy,"Photosynthesis, Respiration, and Nutrient Transport in Plants",definition
BIO.5.1,Biology & Life Sciences: Physiology & Anatomy,Plant Physiology and Anatomy,Plant Hormones and Growth Regulation,definition
BIO.5.2,Biology & Life Sciences: Physiology & Anatomy,Animal Physiology and Anatomy,Immune System and Immunology Basics,definition
BIO.5.2,Biology & Life Sciences: Physiology & Anatomy,Animal Physiology and Anatomy,"Organ Systems Overview: Nervous, Circulatory, Respiratory, Digestive, Excretory, and Reproductive",definition
BIO.5.2,Biology & Life Sciences: Physiology & Anatomy,Animal Physiology and Anatomy,Homeostatic Mechanisms in Animals,definition
BIO.5.2,Biology & Life Sciences: Physiology & Anatomy,Animal Physiology and Anatomy,Neurophysiology and Sensory Systems,definition
BIO.5.2,Biology & Life Sciences: Physiology & Anatomy,Animal Physiology and Anatomy,Comparative Anatomy and Adaptations,definition
BIO.6.1,Biology & Life Sciences: Evolution & Biodiversity,Evolutionary Theory,Principles of Natural Selection and Adaptation,definition
BIO.6.1,Biology & Life Sciences: Evolution & Biodiversity,Evolutionary Theory,"Mechanisms of Evolution: Mutation, Gene Flow, Genetic Drift, and Selection",definition
BIO.6.1,Biology & Life Sciences: Evolution & Biodiversity,Evolutionary Theory,Speciation and Phylogenetics,definition
BIO.6.1,Biology & Life Sciences: Evolution & Biodiversity,Evolutionary Theory,"Fossils, Extinction, and the History of Life",definition
BIO.6.2,Biology & Life Sciences: Evolution & Biodiversity,Biodiversity and Systematics,Classification and Taxonomy of Organisms,definition
BIO.6.2,Biology & Life Sciences: Evolution & Biodiversity,Biodiversity and Systematics,Modern Systematics: Molecular and Morphological Approaches,definition
BIO.6.2,Biology & Life Sciences: Evolution & Biodiversity,Biodiversity and Systematics,Evolutionary Relationships and the Tree of Life,definition
BIO.7.1,Biology & Life Sciences: Ecology & Environmental Biology,Fundamentals of Ecology,"Ecosystems: Structure, Function, and Energy Flow",definition
BIO.7.1,Biology & Life Sciences: Ecology & Environmental Biology,Fundamentals of Ecology,"Population Ecology: Dynamics, Growth Models, and Interactions",definition
BIO.7.1,Biology & Life Sciences: Ecology & Environmental Biology,Fundamentals of Ecology,"Community Ecology: Species Interactions, Biodiversity, and Succession",definition
BIO.7.2,Biology & Life Sciences: Ecology & Environmental Biology,Applied Ecology and Conservation,"Environmental Challenges: Pollution, Climate Change, and Habitat Loss",definition
BIO.7.2,Biology & Life Sciences: Ecology & Environmental Biology,Applied Ecology and Conservation,Conservation Biology and Sustainability,definition
BIO.7.2,Biology & Life Sciences: Ecology & Environmental Biology,Applied Ecology and Conservation,Restoration Ecology and Ecosystem Management,definition
BIO.8.1,Biology & Life Sciences: Advanced & Interdisciplinary Topics,Neuroscience and Behavior,Basics of Neuronal Function and Brain Architecture,definition
BIO.8.1,Biology & Life Sciences: Advanced & Interdisciplinary Topics,Neuroscience and Behavior,"Systems Neuroscience: Sensory Processing, Learning, and Memory",definition
BIO.8.1,Biology & Life Sciences: Advanced & Interdisciplinary Topics,Neuroscience and Behavior,Behavioral Biology and the Neurobiology of Behavior,definition
BIO.8.2,Biology & Life Sciences: Advanced & Interdisciplinary Topics,Systems and Computational Biology,Systems Biology: Integrative Approaches to Life Sciences,definition
BIO.8.2,Biology & Life Sciences: Advanced & Interdisciplinary Topics,Systems and Computational Biology,Mathematical and Computational Modeling in Biology,definition
BIO.8.2,Biology & Life Sciences: Advanced & Interdisciplinary Topics,Systems and Computational Biology,"Bioinformatics: Data Analysis, Genome Sequencing, and Network Biology",definition
BIO.8.3,Biology & Life Sciences: Advanced & Interdisciplinary Topics,Emerging Fields,Synthetic Biology and Genetic Circuitry,definition
BIO.8.3,Biology & Life Sciences: Advanced & Interdisciplinary Topics,Emerging Fields,Biotechnology and Biomedical Engineering,definition
BIO.8.3,Biology & Life Sciences: Advanced & Interdisciplinary Topics,Emerging Fields,Evolutionary Medicine and Personalized Healthcare,definition
BIO.8.3,Biology & Life Sciences: Advanced & Interdisciplinary Topics,Emerging Fields,Astrobiology and Extremophiles,definition
BIO.9.1,Biology & Life Sciences: Experimental & Research Methods,Laboratory Techniques and Protocols,"Microscopy, Spectroscopy, and Imaging Technologies",definition
BIO.9.1,Biology & Life Sciences: Experimental & Research Methods,Laboratory Techniques and Protocols,"Molecular Techniques: Electrophoresis, Western Blotting, Flow Cytometry",definition
BIO.9.1,Biology & Life Sciences: Experimental & Research Methods,Laboratory Techniques and Protocols,Field Methods in Ecology and Environmental Sampling,definition
BIO.9.2,Biology & Life Sciences: Experimental & Research Methods,Data Analysis and Scientific Communication,Statistical Methods in Biology,definition
BIO.9.2,Biology & Life Sciences: Experimental & Research Methods,Data Analysis and Scientific Communication,Computational Tools for Data Analysis,definition
BIO.9.2,Biology & Life Sciences: Experimental & Research Methods,Data Analysis and Scientific Communication,"Research Design, Peer Review, and Publication Process",definition
CS.1.1,Computer Science & Technology: Fundamentals & Theoretical Foundations,Introduction to Computer Science & Technology,"Definition, history, and evolution of computing",definition
CS.1.1,Computer Science & Technology: Fundamentals & Theoretical Foundations,Introduction to Computer Science & Technology,"Key paradigms (procedural, object-oriented, functional, logic programming)",definition
CS.1.1,Computer Science & Technology: Fundamentals & Theoretical Foundations,Introduction to Computer Science & Technology,Overview of core subfields and interdisciplinary applications,definition
CS.1.2,Computer Science & Technology: Fundamentals & Theoretical Foundations,Mathematical Foundations for Computing,"Discrete Mathematics: Set theory, logic, combinatorics",definition
CS.1.2,Computer Science & Technology: Fundamentals & Theoretical Foundations,Mathematical Foundations for Computing,Graph theory and number theory basics,definition
CS.1.2,Computer Science & Technology: Fundamentals & Theoretical Foundations,Mathematical Foundations for Computing,"Probability and Statistics: Basic probability, distributions, and statistical inference",definition
CS.1.2,Computer Science & Technology: Fundamentals & Theoretical Foundations,Mathematical Foundations for Computing,"Computational Thinking: Abstraction, decomposition, pattern recognition, and algorithmic thinking",definition
CS.1.3,Computer Science & Technology: Fundamentals & Theoretical Foundations,Foundational Programming Concepts,Understanding algorithms and flowcharts,definition
CS.1.3,Computer Science & Technology: Fundamentals & Theoretical Foundations,Foundational Programming Concepts,"Introduction to one or more programming languages (e.g., Python, Java, C++)",definition
CS.1.3,Computer Science & Technology: Fundamentals & Theoretical Foundations,Foundational Programming Concepts,"Basic data types, control structures, functions, and debugging techniques",definition
CS.2.1,"Computer Science & Technology: Programming, Data Structures & Software Development",Programming Fundamentals,"Syntax, semantics, and structures of high-level languages",definition
CS.2.1,"Computer Science & Technology: Programming, Data Structures & Software Development",Programming Fundamentals,Problem-solving via iterative and recursive approaches,definition
CS.2.1,"Computer Science & Technology: Programming, Data Structures & Software Development",Programming Fundamentals,Introduction to integrated development environments (IDEs) and version control,definition
CS.2.2,"Computer Science & Technology: Programming, Data Structures & Software Development",Data Structures & Algorithms,"Data structures: Arrays, linked lists, stacks, queues, trees, and graphs",definition
CS.2.2,"Computer Science & Technology: Programming, Data Structures & Software Development",Data Structures & Algorithms,"Algorithm design: Sorting, searching, graph algorithms",definition
CS.2.2,"Computer Science & Technology: Programming, Data Structures & Software Development",Data Structures & Algorithms,Complexity analysis: Big-O notation and resource trade-offs,definition
CS.2.2,"Computer Science & Technology: Programming, Data Structures & Software Development",Data Structures & Algorithms,"Practical applications: Implementing algorithms in code, efficiency considerations",definition
CS.2.3,"Computer Science & Technology: Programming, Data Structures & Software Development",Software Engineering Principles,"Software development lifecycles (waterfall, agile, etc.)",definition
CS.2.3,"Computer Science & Technology: Programming, Data Structures & Software Development",Software Engineering Principles,Design patterns and object-oriented design,definition
CS.2.3,"Computer Science & Technology: Programming, Data Structures & Software Development",Software Engineering Principles,"Testing, debugging, and documentation practices",definition
CS.2.3,"Computer Science & Technology: Programming, Data Structures & Software Development",Software Engineering Principles,"Collaboration tools: Version control, code reviews, and continuous integration",definition
CS.3.1,Computer Science & Technology: Systems & Architecture,Computer Organization & Architecture,Digital logic design and binary arithmetic,definition
CS.3.1,Computer Science & Technology: Systems & Architecture,Computer Organization & Architecture,"Microprocessors, instruction sets, and assembly language",definition
CS.3.1,Computer Science & Technology: Systems & Architecture,Computer Organization & Architecture,"Memory hierarchy: Cache, RAM, and disk storage",definition
CS.3.1,Computer Science & Technology: Systems & Architecture,Computer Organization & Architecture,"Parallel computing, pipelining, and modern processor design",definition
CS.3.1,Computer Science & Technology: Systems & Architecture,Computer Organization & Architecture,Embedded Systems & Microcontrollers,definition
CS.3.2,Computer Science & Technology: Systems & Architecture,Operating Systems & System Software,"OS fundamentals: Process management, scheduling, memory management",definition
CS.3.2,Computer Science & Technology: Systems & Architecture,Operating Systems & System Software,File systems and input/output (I/O) operations,definition
CS.3.2,Computer Science & Technology: Systems & Architecture,Operating Systems & System Software,"Concurrency, synchronization, and virtualization",definition
CS.3.2,Computer Science & Technology: Systems & Architecture,Operating Systems & System Software,"Case studies: Unix/Linux, Windows, mobile operating systems",definition
CS.3.3,Computer Science & Technology: Systems & Architecture,Networking & Distributed Systems,"Network fundamentals: Protocols (TCP/IP, HTTP), addressing, and routing",definition
CS.3.3,Computer Science & Technology: Systems & Architecture,Networking & Distributed Systems,"Network architecture and design: LAN, WAN, VPN",definition
CS.3.3,Computer Science & Technology: Systems & Architecture,Networking & Distributed Systems,"Distributed systems: Cloud computing, microservices, and edge computing",definition
CS.3.3,Computer Science & Technology: Systems & Architecture,Networking & Distributed Systems,Security fundamentals in networking,definition
CS.3.4,Computer Science & Technology: Systems & Architecture,Database Systems & Data Management,"Relational databases: SQL, normalization, and indexing",definition
CS.3.4,Computer Science & Technology: Systems & Architecture,Database Systems & Data Management,NoSQL databases and key-value stores,definition
CS.3.4,Computer Science & Technology: Systems & Architecture,Database Systems & Data Management,Data modeling and database design,definition
CS.3.4,Computer Science & Technology: Systems & Architecture,Database Systems & Data Management,Big data technologies and distributed data processing frameworks,definition
CS.4.1,Computer Science & Technology: Theory of Computation & Formal Languages,Automata Theory & Formal Languages,"Finite automata, regular languages, and regular expressions",definition
CS.4.1,Computer Science & Technology: Theory of Computation & Formal Languages,Automata Theory & Formal Languages,Context-free grammars and pushdown automata,definition
CS.4.1,Computer Science & Technology: Theory of Computation & Formal Languages,Automata Theory & Formal Languages,Introduction to Turing machines and decidability,definition
CS.4.2,Computer Science & Technology: Theory of Computation & Formal Languages,Computational Complexity,"Complexity classes (P, NP, NP-complete, NP-hard)",definition
CS.4.2,Computer Science & Technology: Theory of Computation & Formal Languages,Computational Complexity,"Reductions, completeness, and the limits of computation",definition
CS.4.2,Computer Science & Technology: Theory of Computation & Formal Languages,Computational Complexity,Insights from algorithmic information theory,definition
CS.5.1,Computer Science & Technology: Specialized Areas & Advanced Topics,Artificial Intelligence & Machine Learning,"Foundations of AI: Search, logic, and knowledge representation",definition
CS.5.1,Computer Science & Technology: Specialized Areas & Advanced Topics,Artificial Intelligence & Machine Learning,"Machine Learning basics: Supervised, unsupervised, and reinforcement learning",definition
CS.5.1,Computer Science & Technology: Specialized Areas & Advanced Topics,Artificial Intelligence & Machine Learning,"Deep learning, neural networks, and natural language processing",definition
CS.5.1,Computer Science & Technology: Specialized Areas & Advanced Topics,Artificial Intelligence & Machine Learning,"Applications: Computer vision, robotics, and intelligent systems",definition
CS.5.2,Computer Science & Technology: Specialized Areas & Advanced Topics,Information Retrieval & Web Technologies,"Web search algorithms, indexing techniques, and web crawling",definition
CS.5.2,Computer Science & Technology: Specialized Areas & Advanced Topics,Information Retrieval & Web Technologies,Applications in search engines and web services,definition
CS.5.3,Computer Science & Technology: Specialized Areas & Advanced Topics,Human–Computer Interaction (HCI),Design principles for user interfaces and experiences,definition
CS.5.3,Computer Science & Technology: Specialized Areas & Advanced Topics,Human–Computer Interaction (HCI),Usability testing and accessibility standards,definition
CS.5.3,Computer Science & Technology: Specialized Areas & Advanced Topics,Human–Computer Interaction (HCI),"Emerging trends: Virtual reality (VR), augmented reality (AR), and wearable technology",definition
CS.5.4,Computer Science & Technology: Specialized Areas & Advanced Topics,Computer Graphics & Visualization,Fundamentals of 2D/3D graphics and rendering techniques,definition
CS.5.4,Computer Science & Technology: Specialized Areas & Advanced Topics,Computer Graphics & Visualization,"Animation, simulation, and real-time graphics",definition
CS.5.4,Computer Science & Technology: Specialized Areas & Advanced Topics,Computer Graphics & Visualization,"Applications in gaming, design, and data visualization",definition
CS.5.5,Computer Science & Technology: Specialized Areas & Advanced Topics,"Security, Cryptography & Privacy",Principles of cybersecurity and threat models,definition
CS.5.5,Computer Science & Technology: Specialized Areas & Advanced Topics,"Security, Cryptography & Privacy","Cryptographic algorithms and protocols (symmetric, asymmetric, hashing)",definition
CS.5.5,Computer Science & Technology: Specialized Areas & Advanced Topics,"Security, Cryptography & Privacy","Network security, ethical hacking, and data privacy regulations",definition
CS.5.6,Computer Science & Technology: Specialized Areas & Advanced Topics,Data Science & Big Data Analytics,"Data mining, statistical analysis, and predictive modeling",definition
CS.5.6,Computer Science & Technology: Specialized Areas & Advanced Topics,Data Science & Big Data Analytics,Data visualization techniques and tools,definition
CS.5.6,Computer Science & Technology: Specialized Areas & Advanced Topics,Data Science & Big Data Analytics,"Frameworks and platforms for big data (e.g., Hadoop, Spark)",definition
CS.5.6,Computer Science & Technology: Specialized Areas & Advanced Topics,Data Science & Big Data Analytics,Applications in business intelligence and scientific research,definition
CS.6.1,Computer Science & Technology: Emerging Technologies & Interdisciplinary Applications,Internet of Things (IoT) & Embedded Systems,Fundamentals of embedded programming and hardware interfacing,definition
CS.6.1,Computer Science & Technology: Emerging Technologies & Interdisciplinary Applications,Internet of Things (IoT) & Embedded Systems,"IoT architectures, protocols, and communication models",definition
CS.6.1,Computer Science & Technology: Emerging Technologies & Interdisciplinary Applications,Internet of Things (IoT) & Embedded Systems,"Applications: Smart devices, home automation, and industrial IoT",definition
CS.6.1,Computer Science & Technology: Emerging Technologies & Interdisciplinary Applications,Internet of Things (IoT) & Embedded Systems,Edge Computing and Fog Computing,definition
CS.6.2,Computer Science & Technology: Emerging Technologies & Interdisciplinary Applications,Quantum Computing,Basic principles of quantum mechanics relevant to computing,definition
CS.6.2,Computer Science & Technology: Emerging Technologies & Interdisciplinary Applications,Quantum Computing,"Quantum bits (qubits), superposition, and entanglement",definition
CS.6.2,Computer Science & Technology: Emerging Technologies & Interdisciplinary Applications,Quantum Computing,"Quantum algorithms, error correction, and current hardware challenges",definition
CS.6.3,Computer Science & Technology: Emerging Technologies & Interdisciplinary Applications,Blockchain & Decentralized Technologies,Concepts of distributed ledgers and consensus algorithms,definition
CS.6.3,Computer Science & Technology: Emerging Technologies & Interdisciplinary Applications,Blockchain & Decentralized Technologies,"Cryptocurrencies, smart contracts, and decentralized applications",definition
CS.6.3,Computer Science & Technology: Emerging Technologies & Interdisciplinary Applications,Blockchain & Decentralized Technologies,"Potential impacts on finance, supply chain management, and governance",definition
CS.6.4,Computer Science & Technology: Emerging Technologies & Interdisciplinary Applications,Interdisciplinary Research & Innovation,"Combining computing with fields like biology (bioinformatics), physics (computational physics), and humanities (digital humanities)",definition
CS.6.4,Computer Science & Technology: Emerging Technologies & Interdisciplinary Applications,Interdisciplinary Research & Innovation,Emerging areas such as computational social science and ethical AI,definition
CS.6.4,Computer Science & Technology: Emerging Technologies & Interdisciplinary Applications,Interdisciplinary Research & Innovation,Collaborative projects and research methods across disciplines,definition
CS.7.1,"Computer Science & Technology: Professional Practice, Research & Ethics",Project Management & Software Entrepreneurship,"Principles of project planning, agile methods, and teamwork",definition
CS.7.1,"Computer Science & Technology: Professional Practice, Research & Ethics",Project Management & Software Entrepreneurship,"Product design, market research, and startup culture",definition
CS.7.1,"Computer Science & Technology: Professional Practice, Research & Ethics",Project Management & Software Entrepreneurship,Case studies and lessons from the tech industry,definition
CS.7.2,"Computer Science & Technology: Professional Practice, Research & Ethics","Ethics, Legal, and Social Implications in Computing","Ethical considerations in AI, data privacy, and cybersecurity",definition
CS.7.2,"Computer Science & Technology: Professional Practice, Research & Ethics","Ethics, Legal, and Social Implications in Computing","Legal issues: Intellectual property, data protection laws, and digital rights",definition
CS.7.2,"Computer Science & Technology: Professional Practice, Research & Ethics","Ethics, Legal, and Social Implications in Computing",The societal impact of emerging technologies and digital transformation,definition
CS.7.3,"Computer Science & Technology: Professional Practice, Research & Ethics",Research Methodologies in Computer Science,"Academic research methods, technical writing, and peer review",definition
CS.7.3,"Computer Science & Technology: Professional Practice, Research & Ethics",Research Methodologies in Computer Science,Conference presentations and networking in the tech community,definition
CS.7.3,"Computer Science & Technology: Professional Practice, Research & Ethics",Research Methodologies in Computer Science,Grant writing and funding for research projects,definition
ENG.1.1,Engineering: Foundations of Engineering,Introduction to Engineering,Definition and Role of Engineering in Society,definition
ENG.1.1,Engineering: Foundations of Engineering,Introduction to Engineering,History and Evolution of Engineering Disciplines,definition
ENG.1.1,Engineering: Foundations of Engineering,Introduction to Engineering,The Engineering Design Process and Systems Thinking,definition
ENG.1.1,Engineering: Foundations of Engineering,Introduction to Engineering,"Overview of Problem Solving, Modeling, and Simulation",definition
ENG.1.2,Engineering: Foundations of Engineering,Mathematical and Scientific Foundations,"Applied Mathematics for Engineering (Calculus, Linear Algebra, Differential Equations)",definition
ENG.1.2,Engineering: Foundations of Engineering,Mathematical and Scientific Foundations,"Fundamental Physics Concepts (Mechanics, Electricity, Magnetism, Thermodynamics)",definition
ENG.1.2,Engineering: Foundations of Engineering,Mathematical and Scientific Foundations,"Basic Chemistry (Material properties, reactions, and thermochemical processes)",definition
ENG.1.2,Engineering: Foundations of Engineering,Mathematical and Scientific Foundations,Introduction to Engineering Materials and their Properties,definition
ENG.1.3,Engineering: Foundations of Engineering,Tools and Technologies,Introduction to Computer-Aided Design (CAD),definition
ENG.1.3,Engineering: Foundations of Engineering,Tools and Technologies,Basics of Engineering Software (Simulation and Modeling Tools),definition
ENG.1.3,Engineering: Foundations of Engineering,Tools and Technologies,Introduction to Programming and Computational Thinking,definition
ENG.1.3,Engineering: Foundations of Engineering,Tools and Technologies,"Measurement, Instrumentation, and Data Acquisition",definition
ENG.1.3,Engineering: Foundations of Engineering,Tools and Technologies,"Understanding Standards, Codes, and Specifications",definition
ENG.2.1,Engineering: Core Engineering Disciplines,Mechanical Engineering,"Statics and Dynamics: Equilibrium, forces, moments, and kinematics",definition
ENG.2.1,Engineering: Core Engineering Disciplines,Mechanical Engineering,"Mechanics of Materials: Stress, strain, and material behavior",definition
